event_id,timestamp,user_id,role,department_or_vendor,resource,auth_method,outcome,location,is_anomalous
IA003459,2026-06-01T00:11:00,VND2023,vendor,SkyLink Ground Services,Staff-VPN,vpn_password,success,airport-terminal,1
IA005594,2026-06-01T00:15:32,VND2021,vendor,Falcon Cargo Handling,Staff-VPN,sso_password,success,vendor-remote-site,0
IA003808,2026-06-01T00:57:11,VND2004,vendor,Falcon Cargo Handling,Gate-Management-System,vpn_certificate,success,airport-terminal,0
IA004796,2026-06-01T00:57:38,STF1045,staff,Baggage Handling,Maintenance-Ticketing,vpn_password,success,airport-terminal,0
IA002066,2026-06-01T01:28:06,STF1110,staff,Security,Airfield-Ops-Portal,vpn_certificate,fail,airport-terminal,0
IA003972,2026-06-01T01:46:25,STF1018,staff,Engineering & Maintenance,Baggage-Handling-System,sso_password,fail,airport-terminal,1
IA003954,2026-06-01T01:52:45,VND2024,vendor,AeroFuel Solutions,Gate-Management-System,sso_password,success,vendor-remote-site,0
IA005664,2026-06-01T01:53:20,STF1012,staff,IT,HR-Self-Service,badge+pin,success,airport-terminal,0
IA006071,2026-06-01T02:40:41,STF1104,staff,Gate Services,HR-Self-Service,vpn_certificate,success,airport-terminal,0
IA005799,2026-06-01T04:11:19,STF1122,staff,Gate Services,HR-Self-Service,vpn_certificate,success,airport-terminal,0
IA003871,2026-06-01T04:22:01,VND2007,vendor,SkyLink Ground Services,Retail-POS-Backend,sso_mfa,success,airport-terminal,0
IA003579,2026-06-01T04:49:44,VND2034,vendor,SkyLink Ground Services,Retail-POS-Backend,sso_password,fail,airport-terminal,0
IA000629,2026-06-01T06:01:53,VND2034,vendor,SkyLink Ground Services,Retail-POS-Backend,vpn_certificate,success,vendor-remote-site,0
IA000203,2026-06-01T06:07:15,VND2031,vendor,Meridian Aircraft Maintenance,Baggage-Handling-System,sso_password,fail,vendor-remote-site,0
IA000458,2026-06-01T06:16:41,STF1004,staff,IT,Baggage-Handling-System,vpn_certificate,success,airport-terminal,0
IA002611,2026-06-01T06:19:51,STF1169,staff,Ground Operations,Retail-POS-Backend,sso_password,success,airport-terminal,0
IA004294,2026-06-01T06:46:40,STF1097,staff,Retail Concessions,Cargo-Manifest-System,sso_mfa,success,airport-terminal,0
IA000621,2026-06-01T06:56:59,STF1177,staff,IT,Departure-Control-System,badge+pin,success,airport-terminal,0
IA003137,2026-06-01T06:57:47,STF1116,staff,IT,HR-Self-Service,badge+pin,success,airport-terminal,0
IA005249,2026-06-01T07:02:06,VND2011,vendor,Falcon Cargo Handling,Airfield-Ops-Portal,badge+pin,success,airport-terminal,0
IA002223,2026-06-01T07:20:26,STF1112,staff,Cargo,HR-Self-Service,sso_mfa,success,airport-terminal,0
IA001427,2026-06-01T07:22:47,STF1066,staff,Retail Concessions,Gate-Management-System,sso_password,success,airport-terminal,0
IA001713,2026-06-01T07:35:07,STF1152,staff,Ground Operations,Maintenance-Ticketing,vpn_certificate,success,airport-terminal,0
IA001232,2026-06-01T07:42:19,STF1172,staff,Ground Operations,Gate-Management-System,badge+pin,success,airport-terminal,0
IA005000,2026-06-01T07:54:10,VND2034,vendor,SkyLink Ground Services,Airfield-Ops-Portal,sso_mfa,success,airport-terminal,0
IA005023,2026-06-01T07:56:46,STF1011,staff,Retail Concessions,HR-Self-Service,badge+pin,success,airport-terminal,0
IA000033,2026-06-01T08:10:24,STF1046,staff,Cargo,Staff-VPN,sso_password,success,airport-terminal,0
IA000671,2026-06-01T08:10:55,VND2013,vendor,Falcon Cargo Handling,Retail-POS-Backend,sso_password,success,vendor-remote-site,0
IA001401,2026-06-01T08:12:46,VND2020,vendor,Coastal Catering Co,HR-Self-Service,sso_password,success,vendor-remote-site,0
IA003864,2026-06-01T08:13:20,VND2010,vendor,SkyLink Ground Services,Cargo-Manifest-System,vpn_certificate,success,vendor-remote-site,0
IA000312,2026-06-01T08:21:54,STF1092,staff,Baggage Handling,Staff-VPN,vpn_certificate,success,airport-terminal,0
IA000904,2026-06-01T08:49:17,STF1102,staff,IT,Maintenance-Ticketing,vpn_certificate,success,airport-terminal,0
IA000521,2026-06-01T09:50:47,STF1089,staff,Retail Concessions,Departure-Control-System,sso_password,success,airport-terminal,0
IA004689,2026-06-01T09:54:50,STF1117,staff,IT,Maintenance-Ticketing,sso_password,success,airport-terminal,0
IA005245,2026-06-01T09:56:03,VND2009,vendor,Falcon Cargo Handling,Cargo-Manifest-System,badge+pin,success,airport-terminal,0
IA005987,2026-06-01T10:03:50,STF1115,staff,Engineering & Maintenance,Airfield-Ops-Portal,sso_mfa,success,airport-terminal,0
IA002879,2026-06-01T10:07:58,STF1113,staff,IT,Cargo-Manifest-System,sso_password,success,airport-terminal,0
IA001325,2026-06-01T10:09:21,STF1120,staff,Engineering & Maintenance,Cargo-Manifest-System,badge+pin,success,airport-terminal,0
IA006075,2026-06-01T10:14:09,STF1019,staff,Cargo,HR-Self-Service,sso_mfa,success,airport-terminal,0
IA005841,2026-06-01T10:21:10,STF1106,staff,Retail Concessions,Gate-Management-System,badge+pin,fail,airport-terminal,0
IA003741,2026-06-01T10:32:47,STF1038,staff,Retail Concessions,Staff-VPN,sso_password,success,airport-terminal,0
IA005866,2026-06-01T10:33:31,STF1105,staff,Baggage Handling,Baggage-Handling-System,vpn_password,success,airport-terminal,0
IA005654,2026-06-01T10:42:28,STF1053,staff,Ground Operations,Maintenance-Ticketing,vpn_certificate,success,airport-terminal,0
IA000115,2026-06-01T10:46:10,STF1067,staff,IT,Airfield-Ops-Portal,vpn_password,success,airport-terminal,0
IA000156,2026-06-01T10:49:36,STF1066,staff,Retail Concessions,Departure-Control-System,badge+pin,success,airport-terminal,0
IA001182,2026-06-01T11:05:37,STF1127,staff,Baggage Handling,Baggage-Handling-System,badge+pin,success,airport-terminal,0
IA004675,2026-06-01T11:08:14,STF1178,staff,Engineering & Maintenance,Staff-VPN,sso_password,fail,airport-terminal,0
IA004160,2026-06-01T11:15:56,STF1024,staff,Retail Concessions,Departure-Control-System,sso_password,success,airport-terminal,0
IA002560,2026-06-01T11:22:06,VND2031,vendor,Meridian Aircraft Maintenance,Maintenance-Ticketing,vpn_certificate,success,airport-terminal,0
IA003812,2026-06-01T11:34:58,STF1073,staff,Gate Services,Cargo-Manifest-System,vpn_certificate,success,airport-terminal,0
IA005268,2026-06-01T11:54:43,STF1124,staff,Gate Services,Airfield-Ops-Portal,badge+pin,fail,airport-terminal,0
IA004273,2026-06-01T11:54:56,STF1004,staff,IT,Airfield-Ops-Portal,vpn_password,success,airport-terminal,0
IA001193,2026-06-01T12:14:56,VND2030,vendor,Meridian Aircraft Maintenance,Departure-Control-System,vpn_certificate,success,airport-terminal,0
IA001052,2026-06-01T12:19:09,VND2014,vendor,AeroFuel Solutions,Baggage-Handling-System,badge+pin,success,airport-terminal,0
IA004658,2026-06-01T12:25:36,VND2011,vendor,Falcon Cargo Handling,Cargo-Manifest-System,badge+pin,success,airport-terminal,0
IA002536,2026-06-01T12:26:12,STF1096,staff,Security,Baggage-Handling-System,sso_password,success,airport-terminal,0
IA001095,2026-06-01T12:29:46,STF1050,staff,Ground Operations,Staff-VPN,sso_mfa,success,airport-terminal,0
IA003424,2026-06-01T12:31:55,STF1012,staff,IT,Retail-POS-Backend,sso_mfa,success,airport-terminal,0
IA001580,2026-06-01T12:34:14,STF1168,staff,Gate Services,Baggage-Handling-System,sso_mfa,success,airport-terminal,0
IA001231,2026-06-01T12:34:42,STF1028,staff,IT,Departure-Control-System,badge+pin,fail,airport-terminal,0
IA003613,2026-06-01T12:37:52,STF1034,staff,Ground Operations,Baggage-Handling-System,sso_password,success,airport-terminal,0
IA000981,2026-06-01T12:43:43,STF1094,staff,IT,Gate-Management-System,sso_mfa,success,airport-terminal,0
IA004931,2026-06-01T12:43:53,STF1091,staff,IT,Gate-Management-System,vpn_certificate,success,airport-terminal,0
IA004375,2026-06-01T12:58:42,VND2004,vendor,Falcon Cargo Handling,Baggage-Handling-System,badge+pin,success,airport-terminal,0
IA002552,2026-06-01T13:00:27,STF1020,staff,Ground Operations,Baggage-Handling-System,sso_mfa,success,airport-terminal,0
IA006010,2026-06-01T13:05:57,STF1024,staff,Retail Concessions,Retail-POS-Backend,sso_mfa,success,airport-terminal,0
IA004411,2026-06-01T13:20:20,STF1143,staff,Engineering & Maintenance,Maintenance-Ticketing,vpn_password,success,airport-terminal,0
IA002953,2026-06-01T13:31:11,STF1111,staff,Ground Operations,HR-Self-Service,badge+pin,success,airport-terminal,0
IA000091,2026-06-01T13:36:03,VND2025,vendor,SkyLink Ground Services,Baggage-Handling-System,sso_password,success,vendor-remote-site,0
IA001218,2026-06-01T13:36:10,STF1019,staff,Cargo,Staff-VPN,sso_password,success,airport-terminal,0
IA001679,2026-06-01T13:39:12,VND2003,vendor,Falcon Cargo Handling,Staff-VPN,sso_password,success,vendor-remote-site,0
IA006127,2026-06-01T13:56:47,STF1028,staff,IT,Maintenance-Ticketing,badge+pin,success,airport-terminal,0
IA003019,2026-06-01T14:02:47,STF1078,staff,Baggage Handling,HR-Self-Service,vpn_password,fail,airport-terminal,0
IA005323,2026-06-01T14:05:56,VND2006,vendor,Coastal Catering Co,Gate-Management-System,badge+pin,success,vendor-remote-site,0
IA002708,2026-06-01T14:09:00,STF1176,staff,Engineering & Maintenance,Cargo-Manifest-System,sso_password,success,airport-terminal,0
IA000509,2026-06-01T14:10:04,STF1018,staff,Engineering & Maintenance,Cargo-Manifest-System,sso_password,success,airport-terminal,0
IA003411,2026-06-01T14:23:55,STF1105,staff,Baggage Handling,Retail-POS-Backend,sso_mfa,success,airport-terminal,0
IA003988,2026-06-01T14:36:33,STF1174,staff,Ground Operations,HR-Self-Service,sso_mfa,success,airport-terminal,0
IA000716,2026-06-01T14:44:00,STF1128,staff,Retail Concessions,Retail-POS-Backend,sso_password,success,airport-terminal,0
IA004863,2026-06-01T14:46:59,STF1106,staff,Retail Concessions,Staff-VPN,sso_mfa,success,airport-terminal,0
IA001129,2026-06-01T15:06:50,STF1120,staff,Engineering & Maintenance,Retail-POS-Backend,badge+pin,success,airport-terminal,0
IA004308,2026-06-01T15:14:05,STF1000,staff,Ground Operations,Baggage-Handling-System,sso_password,success,airport-terminal,0
IA005439,2026-06-01T15:23:06,STF1008,staff,Ground Operations,Maintenance-Ticketing,sso_mfa,success,airport-terminal,0
IA001089,2026-06-01T15:31:19,STF1063,staff,Retail Concessions,Airfield-Ops-Portal,sso_mfa,success,airport-terminal,0
IA001993,2026-06-01T16:08:14,VND2004,vendor,Falcon Cargo Handling,Maintenance-Ticketing,sso_mfa,success,airport-terminal,0
IA003446,2026-06-01T16:30:33,VND2023,vendor,SkyLink Ground Services,Baggage-Handling-System,sso_password,success,vendor-remote-site,1
