event_id,timestamp,user_id,src_segment,dst_segment,src_ip,dst_ip,port,protocol,bytes,device_id,is_anomalous
NW001915,2026-06-01T02:01:35,VND2000,vendor-vpn,vendor-vpn,10.60.115.204,10.20.154.176,443,TCP,234818,DEV0187,0
NW005884,2026-06-01T02:18:35,STF1147,staff-ops,staff-ops,10.20.38.148,10.20.158.95,443,TCP,345835,DEV0129,0
NW004634,2026-06-01T02:27:04,STF1167,staff-ops,operational-apps,10.20.162.8,10.20.177.121,5432,TCP,5590669,DEV0150,1
NW003783,2026-06-01T02:44:19,VND2032,vendor-vpn,vendor-vpn,10.60.179.68,10.20.159.93,443,UDP,187794,DEV0140,0
NW002589,2026-06-01T03:04:53,STF1105,staff-ops,staff-ops,10.20.175.211,10.20.73.59,443,TCP,92755,DEV0097,0
NW000598,2026-06-01T03:13:15,STF1098,staff-ops,operational-apps,10.20.211.51,10.20.8.23,22,TCP,4122232,DEV0124,1
NW004419,2026-06-01T03:49:09,VND2025,vendor-vpn,vendor-vpn,10.60.67.161,10.20.49.230,443,TCP,47441,DEV0133,0
NW004817,2026-06-01T04:13:14,STF1054,staff-ops,staff-ops,10.20.180.191,10.20.222.250,80,TCP,312696,DEV0345,0
NW001053,2026-06-01T04:29:39,STF1018,staff-ops,operational-apps,10.20.188.70,10.20.31.74,3389,TCP,3630668,DEV0352,1
NW004786,2026-06-01T04:29:53,VND2008,vendor-vpn,vendor-vpn,10.60.122.151,10.20.183.29,80,TCP,38909,DEV0044,0
NW003260,2026-06-01T06:13:16,VND2021,vendor-vpn,vendor-vpn,10.60.186.150,10.20.33.88,8080,TCP,280379,DEV0325,0
NW001899,2026-06-01T06:16:17,STF1131,staff-ops,staff-ops,10.20.213.214,10.20.172.175,5432,TCP,321269,DEV0095,0
NW002327,2026-06-01T06:28:51,STF1011,staff-ops,internet,10.20.210.80,198.51.31.218,443,UDP,243007,DEV0149,0
NW004441,2026-06-01T06:29:30,STF1070,staff-ops,staff-ops,10.20.162.171,10.20.177.213,443,TCP,7107,DEV0323,0
NW000848,2026-06-01T06:33:12,STF1045,staff-ops,staff-ops,10.20.101.224,10.20.17.241,3389,TCP,375842,DEV0363,0
NW005117,2026-06-01T06:37:20,STF1135,staff-ops,staff-ops,10.20.165.185,10.20.171.220,5432,UDP,388634,DEV0069,0
NW001433,2026-06-01T06:37:39,STF1157,staff-ops,staff-ops,10.20.125.148,10.20.95.100,22,TCP,351113,DEV0297,0
