session_id,timestamp,user_id,role,vendor_firm,application,action,privilege_level,outcome,is_anomalous
OP000771,2026-06-01T00:03:26,STF1172,staff,,Departure-Control-System,read_sensor_status,standard,success,0
OP001657,2026-06-01T00:05:17,VND2033,vendor,Meridian Aircraft Maintenance,Departure-Control-System,create_user,elevated,success,1
OP001286,2026-06-01T00:28:58,STF1130,staff,,Gate-Management-System,view_manifest,standard,success,0
OP000784,2026-06-01T02:01:51,VND2011,vendor,Falcon Cargo Handling,Baggage-Handling-System,create_user,elevated,success,0
OP000051,2026-06-01T03:06:20,VND2002,vendor,Horizon Cleaning Services,Departure-Control-System,view_manifest,standard,success,0
OP000055,2026-06-01T03:35:47,STF1118,staff,,Baggage-Handling-System,export_report,standard,success,0
OP000923,2026-06-01T03:38:09,STF1042,staff,,Airfield-Ops-Portal,read_sensor_status,standard,success,0
OP000378,2026-06-01T06:27:24,STF1123,staff,,Gate-Management-System,view_manifest,standard,success,0
OP000537,2026-06-01T06:32:59,VND2005,vendor,AeroFuel Solutions,Gate-Management-System,view_manifest,standard,success,0
OP001109,2026-06-01T06:33:25,VND2011,vendor,Falcon Cargo Handling,Baggage-Handling-System,download_bulk_data,elevated,success,0
OP001214,2026-06-01T07:02:48,VND2032,vendor,AeroFuel Solutions,Gate-Management-System,export_report,standard,success,0
OP000904,2026-06-01T07:03:37,STF1125,staff,,Cargo-Manifest-System,download_bulk_data,elevated,success,0
OP000628,2026-06-01T07:04:07,STF1150,staff,,Airfield-Ops-Portal,download_bulk_data,elevated,success,0
OP001476,2026-06-01T07:06:55,STF1081,staff,,Departure-Control-System,view_manifest,standard,success,0
OP000249,2026-06-01T07:15:49,STF1004,staff,,Departure-Control-System,read_sensor_status,standard,success,0
OP000645,2026-06-01T07:25:15,STF1078,staff,,Airfield-Ops-Portal,view_manifest,standard,success,0
OP001867,2026-06-01T07:42:11,STF1130,staff,,Airfield-Ops-Portal,read_sensor_status,standard,success,0
OP000786,2026-06-01T08:05:56,VND2012,vendor,AeroFuel Solutions,Departure-Control-System,update_schedule,standard,success,0
OP001839,2026-06-01T08:06:52,STF1102,staff,,Baggage-Handling-System,view_manifest,standard,success,0
OP001934,2026-06-01T08:10:15,STF1056,staff,,Gate-Management-System,read_sensor_status,standard,success,0
OP000738,2026-06-01T08:25:51,STF1146,staff,,Gate-Management-System,create_user,elevated,success,0
OP002529,2026-06-01T08:37:34,STF1137,staff,,Gate-Management-System,update_schedule,standard,success,0
OP002581,2026-06-01T09:02:09,STF1022,staff,,Airfield-Ops-Portal,modify_routing_rule,elevated,success,0
OP000417,2026-06-01T09:06:33,STF1126,staff,,Cargo-Manifest-System,admin_config_change,elevated,success,0
OP002479,2026-06-01T09:33:53,STF1139,staff,,Airfield-Ops-Portal,admin_config_change,elevated,success,0
OP002997,2026-06-01T09:58:20,VND2004,vendor,Falcon Cargo Handling,Baggage-Handling-System,export_report,standard,success,0
OP001230,2026-06-01T10:47:54,STF1170,staff,,Gate-Management-System,read_sensor_status,standard,success,0
OP001659,2026-06-01T10:50:51,VND2028,vendor,Horizon Cleaning Services,Cargo-Manifest-System,export_report,standard,success,0
OP000225,2026-06-01T10:51:01,STF1119,staff,,Departure-Control-System,view_manifest,standard,success,0
OP002434,2026-06-01T10:55:52,VND2025,vendor,SkyLink Ground Services,Airfield-Ops-Portal,view_manifest,standard,success,0
OP001769,2026-06-01T11:10:22,STF1066,staff,,Gate-Management-System,export_report,standard,success,0
OP002272,2026-06-01T11:18:22,VND2017,vendor,Horizon Cleaning Services,Departure-Control-System,update_schedule,standard,success,0
OP001747,2026-06-01T11:46:30,VND2004,vendor,Falcon Cargo Handling,Departure-Control-System,modify_routing_rule,elevated,success,0
OP000036,2026-06-01T11:56:34,STF1058,staff,,Gate-Management-System,modify_routing_rule,elevated,success,0
OP001622,2026-06-01T12:01:33,STF1004,staff,,Baggage-Handling-System,modify_routing_rule,elevated,success,0
OP000295,2026-06-01T12:03:32,STF1072,staff,,Departure-Control-System,update_schedule,standard,success,0
OP000703,2026-06-01T12:34:49,STF1113,staff,,Departure-Control-System,read_sensor_status,standard,success,0
OP000153,2026-06-01T12:53:33,VND2024,vendor,AeroFuel Solutions,Airfield-Ops-Portal,export_report,standard,success,0
OP002897,2026-06-01T13:08:33,VND2018,vendor,Falcon Cargo Handling,Baggage-Handling-System,admin_config_change,elevated,success,0
OP001772,2026-06-01T13:08:50,STF1067,staff,,Gate-Management-System,read_sensor_status,standard,success,0
OP001762,2026-06-01T13:11:26,STF1053,staff,,Gate-Management-System,view_manifest,standard,success,0
OP000424,2026-06-01T13:15:34,STF1153,staff,,Baggage-Handling-System,export_report,standard,success,0
OP002334,2026-06-01T13:23:20,STF1136,staff,,Gate-Management-System,modify_routing_rule,elevated,success,0
OP000111,2026-06-01T13:25:11,VND2007,vendor,SkyLink Ground Services,Baggage-Handling-System,modify_routing_rule,elevated,success,0
OP002928,2026-06-01T13:28:44,STF1141,staff,,Gate-Management-System,read_sensor_status,standard,success,0
OP001440,2026-06-01T13:29:43,VND2030,vendor,Meridian Aircraft Maintenance,Airfield-Ops-Portal,view_manifest,standard,success,0
OP000372,2026-06-01T13:48:34,STF1131,staff,,Gate-Management-System,export_report,standard,success,0
OP000513,2026-06-01T14:03:27,STF1077,staff,,Gate-Management-System,update_schedule,standard,success,0
OP002329,2026-06-01T14:03:54,STF1113,staff,,Airfield-Ops-Portal,export_report,standard,success,0
OP002571,2026-06-01T14:11:40,STF1153,staff,,Cargo-Manifest-System,read_sensor_status,standard,success,0
OP000641,2026-06-01T14:49:18,VND2014,vendor,AeroFuel Solutions,Baggage-Handling-System,modify_routing_rule,elevated,success,0
OP001421,2026-06-01T15:40:02,VND2002,vendor,Horizon Cleaning Services,Cargo-Manifest-System,read_sensor_status,standard,success,0
OP002554,2026-06-01T15:55:00,VND2025,vendor,SkyLink Ground Services,Airfield-Ops-Portal,export_report,standard,success,0
OP000290,2026-06-01T15:56:23,STF1013,staff,,Airfield-Ops-Portal,view_manifest,standard,success,0
OP000069,2026-06-01T15:57:53,STF1092,staff,,Cargo-Manifest-System,read_sensor_status,standard,success,0
OP003018,2026-06-01T16:00:38,VND2000,vendor,SkyLink Ground Services,Airfield-Ops-Portal,view_manifest,standard,success,0
OP000033,2026-06-01T16:15:03,VND2012,vendor,AeroFuel Solutions,Cargo-Manifest-System,update_schedule,standard,success,0
OP000611,2026-06-01T16:34:15,STF1175,staff,,Cargo-Manifest-System,read_sensor_status,standard,success,0
OP001468,2026-06-01T17:32:02,STF1147,staff,,Cargo-Manifest-System,view_manifest,standard,success,0
OP002478,2026-06-01T17:42:15,STF1074,staff,,Baggage-Handling-System,modify_routing_rule,elevated,success,0
OP000188,2026-06-01T18:10:49,STF1143,staff,,Departure-Control-System,read_sensor_status,standard,success,0
OP001087,2026-06-01T18:28:26,STF1178,staff,,Airfield-Ops-Portal,create_user,elevated,success,0
OP003097,2026-06-01T18:28:40,STF1092,staff,,Airfield-Ops-Portal,view_manifest,standard,success,0
OP002729,2026-06-01T18:32:01,STF1151,staff,,Gate-Management-System,update_schedule,standard,success,0
OP002033,2026-06-01T18:47:19,VND2027,vendor,Meridian Aircraft Maintenance,Baggage-Handling-System,view_manifest,standard,success,0
OP001151,2026-06-01T18:48:20,VND2005,vendor,AeroFuel Solutions,Airfield-Ops-Portal,modify_routing_rule,elevated,success,0
OP002895,2026-06-01T19:00:43,VND2023,vendor,SkyLink Ground Services,Gate-Management-System,export_report,standard,success,0
OP002413,2026-06-01T19:15:38,VND2007,vendor,SkyLink Ground Services,Gate-Management-System,view_manifest,standard,success,0
OP000516,2026-06-01T19:19:11,STF1024,staff,,Baggage-Handling-System,view_manifest,standard,success,0
OP001939,2026-06-01T19:26:19,STF1049,staff,,Cargo-Manifest-System,update_schedule,standard,success,0
OP001342,2026-06-01T20:11:54,STF1070,staff,,Airfield-Ops-Portal,export_report,standard,success,0
OP000838,2026-06-01T20:14:41,VND2016,vendor,AeroFuel Solutions,Departure-Control-System,view_manifest,standard,success,0
OP001068,2026-06-01T20:29:43,VND2004,vendor,Falcon Cargo Handling,Airfield-Ops-Portal,read_sensor_status,standard,success,0
OP002528,2026-06-01T20:37:51,VND2004,vendor,Falcon Cargo Handling,Departure-Control-System,view_manifest,standard,success,0
OP002257,2026-06-01T20:42:13,STF1127,staff,,Gate-Management-System,view_manifest,standard,success,0
OP001763,2026-06-01T20:44:09,STF1101,staff,,Baggage-Handling-System,export_report,standard,success,0
OP002456,2026-06-01T21:13:52,STF1147,staff,,Cargo-Manifest-System,create_user,elevated,success,0
OP001780,2026-06-01T21:56:35,VND2012,vendor,AeroFuel Solutions,Departure-Control-System,read_sensor_status,standard,success,0
OP000996,2026-06-01T23:01:30,STF1168,staff,,Gate-Management-System,admin_config_change,elevated,success,0
OP000303,2026-06-02T00:17:41,STF1140,staff,,Baggage-Handling-System,read_sensor_status,standard,success,0
OP001852,2026-06-02T01:31:29,STF1111,staff,,Gate-Management-System,read_sensor_status,standard,success,0
OP001305,2026-06-02T01:45:21,VND2000,vendor,SkyLink Ground Services,Cargo-Manifest-System,download_bulk_data,elevated,success,0
OP002443,2026-06-02T03:35:21,STF1024,staff,,Baggage-Handling-System,export_report,standard,success,0
OP001042,2026-06-02T04:50:09,STF1060,staff,,Airfield-Ops-Portal,view_manifest,standard,success,0
OP001510,2026-06-02T06:04:22,VND2030,vendor,Meridian Aircraft Maintenance,Baggage-Handling-System,view_manifest,standard,success,0
OP002799,2026-06-02T06:12:33,STF1016,staff,,Baggage-Handling-System,update_schedule,standard,success,0
OP000323,2026-06-02T06:20:11,STF1028,staff,,Cargo-Manifest-System,view_manifest,standard,success,0
OP002118,2026-06-02T06:34:32,STF1092,staff,,Departure-Control-System,download_bulk_data,elevated,success,0
OP000867,2026-06-02T06:38:51,STF1050,staff,,Baggage-Handling-System,export_report,standard,success,0
OP000444,2026-06-02T07:19:03,STF1141,staff,,Airfield-Ops-Portal,update_schedule,standard,success,0
OP002875,2026-06-02T07:48:59,STF1003,staff,,Gate-Management-System,view_manifest,standard,success,0
OP002634,2026-06-02T08:02:40,STF1042,staff,,Cargo-Manifest-System,update_schedule,standard,success,0
OP000961,2026-06-02T08:14:58,STF1164,staff,,Airfield-Ops-Portal,admin_config_change,elevated,success,0
OP002871,2026-06-02T08:27:35,VND2034,vendor,SkyLink Ground Services,Airfield-Ops-Portal,view_manifest,standard,success,0
OP003077,2026-06-02T08:32:32,VND2005,vendor,AeroFuel Solutions,Baggage-Handling-System,read_sensor_status,standard,success,0
OP001841,2026-06-02T08:41:31,VND2025,vendor,SkyLink Ground Services,Baggage-Handling-System,read_sensor_status,standard,success,0
OP001173,2026-06-02T08:57:07,VND2019,vendor,Falcon Cargo Handling,Departure-Control-System,modify_routing_rule,elevated,success,0
OP002051,2026-06-02T09:22:13,STF1036,staff,,Gate-Management-System,update_schedule,standard,success,0
OP003053,2026-06-02T09:22:25,STF1161,staff,,Baggage-Handling-System,view_manifest,standard,success,0
