unit,life_cycles,onset_cycle,lead_time_cycles
1,192,152,40
2,287,215,72
3,179,42,137
4,189,46,143
5,269,195,74
6,188,158,30
7,259,198,61
8,150,137,13
9,201,152,49
10,222,159,63
11,240,181,59
12,170,150,20
13,163,131,32
14,180,146,34
15,207,157,50
16,209,188,21
17,276,194,82
18,195,149,46
19,158,135,23
20,234,204,30
21,195,121,74
22,202,180,22
23,168,146,22
24,147,114,33
25,230,179,51
26,199,159,40
27,156,52,104
28,165,129,36
29,163,131,32
30,194,148,46
31,234,185,49
32,191,160,31
33,200,151,49
34,195,49,146
35,181,146,35
36,158,129,29
37,170,141,29
38,194,155,39
39,128,106,22
40,188,152,36
41,216,160,56
42,196,162,34
43,207,155,52
44,192,152,40
45,158,124,34
46,256,193,63
47,214,165,49
48,231,173,58
49,215,178,37
50,198,37,161
51,213,158,55
52,213,171,42
53,195,31,164
54,257,193,64
55,193,152,41
56,275,214,61
57,137,26,111
58,147,113,34
59,231,170,61
60,172,136,36
61,185,138,47
62,180,160,20
63,174,137,37
64,283,217,66
65,153,118,35
66,202,59,143
67,313,89,224
68,199,38,161
69,362,71,291
70,137,112,25
71,208,155,53
72,213,168,45
73,213,183,30
74,166,134,32
75,229,185,44
76,210,182,28
77,154,129,25
78,231,170,61
79,199,149,50
80,185,148,37
81,240,84,156
82,214,157,57
83,293,228,65
84,267,228,39
85,188,152,36
86,278,235,43
87,178,145,33
88,213,162,51
89,217,172,45
90,154,118,36
91,135,122,13
92,341,93,248
93,155,125,30
94,258,203,55
95,283,215,68
96,336,270,66
97,202,43,159
98,156,36,120
99,185,153,32
100,200,164,36
