ticket_id,entity_type,value
TCK00252,applications,Gate-Management-System
TCK00258,devices,DEV0266
TCK00254,applications,Cargo-Manifest-System
TCK00151,accounts,STF1009
TCK00151,applications,Gate-Management-System
TCK00005,accounts,STF1110
TCK00005,applications,Departure-Control-System
TCK00069,applications,Departure-Control-System
TCK00069,vendors,AeroFuel Solutions
TCK00185,accounts,STF1029
TCK00116,applications,Gate-Management-System
TCK00116,vendors,Falcon Cargo Handling
TCK00232,applications,Departure-Control-System
TCK00255,applications,Cargo-Manifest-System
TCK00255,vendors,AeroFuel Solutions
TCK00039,accounts,STF1121
TCK00039,applications,Cargo-Manifest-System
TCK00095,devices,DEV0306
TCK00113,applications,Cargo-Manifest-System
TCK00113,vendors,AeroFuel Solutions
TCK00044,accounts,STF1107
TCK00044,applications,Airfield-Ops-Portal
TCK00159,accounts,STF1084
TCK00159,applications,Airfield-Ops-Portal
TCK00164,vendors,SkyLink Ground Services
TCK00062,applications,Cargo-Manifest-System
TCK00062,vendors,Coastal Catering Co
TCK00309,accounts,STF1135
TCK00145,accounts,STF1047
TCK00145,applications,Cargo-Manifest-System
TCK00314,devices,DEV0290
TCK00142,applications,Gate-Management-System
TCK00120,accounts,STF1054
TCK00120,applications,Gate-Management-System
TCK00120,applications,Airfield-Ops-Portal
TCK00104,accounts,STF1055
TCK00059,applications,Cargo-Manifest-System
TCK00296,accounts,STF1129
TCK00296,applications,Departure-Control-System
TCK00195,accounts,VND2033
TCK00195,applications,Gate-Management-System
TCK00009,accounts,STF1087
TCK00212,accounts,STF1177
TCK00212,applications,Airfield-Ops-Portal
TCK00323,accounts,STF1102
TCK00323,applications,Gate-Management-System
TCK00323,applications,Baggage-Handling-System
TCK00036,applications,Airfield-Ops-Portal
TCK00124,applications,Departure-Control-System
TCK00124,vendors,Meridian Aircraft Maintenance
TCK00253,accounts,STF1087
TCK00253,applications,Airfield-Ops-Portal
TCK00121,accounts,STF1171
TCK00121,applications,Departure-Control-System
TCK00038,applications,Baggage-Handling-System
TCK00024,accounts,STF1019
TCK00302,applications,Baggage-Handling-System
TCK00302,vendors,Meridian Aircraft Maintenance
TCK00150,accounts,STF1113
TCK00150,applications,Airfield-Ops-Portal
TCK00097,applications,Departure-Control-System
TCK00181,applications,Baggage-Handling-System
TCK00081,applications,Airfield-Ops-Portal
TCK00153,accounts,STF1054
TCK00153,applications,Cargo-Manifest-System
TCK00303,accounts,VND2006
TCK00303,applications,Airfield-Ops-Portal
TCK00205,applications,Airfield-Ops-Portal
TCK00229,applications,Departure-Control-System
TCK00102,applications,Baggage-Handling-System
TCK00073,applications,Departure-Control-System
TCK00206,applications,Airfield-Ops-Portal
TCK00041,applications,Cargo-Manifest-System
TCK00041,vendors,Horizon Cleaning Services
TCK00045,applications,Baggage-Handling-System
TCK00245,applications,Gate-Management-System
TCK00245,vendors,SkyLink Ground Services
TCK00240,applications,Airfield-Ops-Portal
TCK00240,vendors,Coastal Catering Co
TCK00226,applications,Gate-Management-System
TCK00226,vendors,Falcon Cargo Handling
TCK00065,accounts,VND2018
TCK00065,applications,Cargo-Manifest-System
TCK00269,accounts,STF1040
TCK00269,applications,Airfield-Ops-Portal
TCK00192,applications,Baggage-Handling-System
TCK00173,accounts,STF1148
TCK00173,applications,Baggage-Handling-System
