event_id,timestamp,user_id,src_segment,dst_segment,src_ip,dst_ip,port,protocol,bytes,device_id,is_anomalous,hour,is_off_hours,cross_segment,log_bytes,uba_anomaly_score,uba_flagged
NW001915,2026-06-01 02:01:35,VND2000,vendor-vpn,vendor-vpn,10.60.115.204,10.20.154.176,443,TCP,234818,DEV0187,0,2,1,0,12.366570283594093,0.6121508227888632,0
NW005884,2026-06-01 02:18:35,STF1147,staff-ops,staff-ops,10.20.38.148,10.20.158.95,443,TCP,345835,DEV0129,0,2,1,0,12.753719953232526,0.5577082724178286,0
NW004634,2026-06-01 02:27:04,STF1167,staff-ops,operational-apps,10.20.162.8,10.20.177.121,5432,TCP,5590669,DEV0150,1,2,1,1,15.536609694836319,0.6871249679209438,1
NW003783,2026-06-01 02:44:19,VND2032,vendor-vpn,vendor-vpn,10.60.179.68,10.20.159.93,443,UDP,187794,DEV0140,0,2,1,0,12.143106221333715,0.6842367111428147,1
NW002589,2026-06-01 03:04:53,STF1105,staff-ops,staff-ops,10.20.175.211,10.20.73.59,443,TCP,92755,DEV0097,0,3,1,0,11.437727668404326,0.5576090949714788,0
NW000598,2026-06-01 03:13:15,STF1098,staff-ops,operational-apps,10.20.211.51,10.20.8.23,22,TCP,4122232,DEV0124,1,3,1,1,15.231905564793282,0.6815543205189957,1
NW004419,2026-06-01 03:49:09,VND2025,vendor-vpn,vendor-vpn,10.60.67.161,10.20.49.230,443,TCP,47441,DEV0133,0,3,1,0,10.767263191298982,0.6285644678639756,0
NW004817,2026-06-01 04:13:14,STF1054,staff-ops,staff-ops,10.20.180.191,10.20.222.250,80,TCP,312696,DEV0345,0,4,1,0,12.652989949539982,0.5608095559391961,0
NW001053,2026-06-01 04:29:39,STF1018,staff-ops,operational-apps,10.20.188.70,10.20.31.74,3389,TCP,3630668,DEV0352,1,4,1,1,15.104927486780992,0.6824430104176461,1
NW004786,2026-06-01 04:29:53,VND2008,vendor-vpn,vendor-vpn,10.60.122.151,10.20.183.29,80,TCP,38909,DEV0044,0,4,1,0,10.569006565978599,0.6390431821705524,0
NW003260,2026-06-01 06:13:16,VND2021,vendor-vpn,vendor-vpn,10.60.186.150,10.20.33.88,8080,TCP,280379,DEV0325,0,6,0,0,12.543901104922528,0.5774288982826172,0
NW001899,2026-06-01 06:16:17,STF1131,staff-ops,staff-ops,10.20.213.214,10.20.172.175,5432,TCP,321269,DEV0095,0,6,0,0,12.68003717006303,0.4720454203422396,0
NW002327,2026-06-01 06:28:51,STF1011,staff-ops,internet,10.20.210.80,198.51.31.218,443,UDP,243007,DEV0149,0,6,0,1,12.400849643591474,0.5796403412244205,0
NW004441,2026-06-01 06:29:30,STF1070,staff-ops,staff-ops,10.20.162.171,10.20.177.213,443,TCP,7107,DEV0323,0,6,0,0,8.868976189274543,0.48711414255502805,0
NW000848,2026-06-01 06:33:12,STF1045,staff-ops,staff-ops,10.20.101.224,10.20.17.241,3389,TCP,375842,DEV0363,0,6,0,0,12.836926781980933,0.4607827967489549,0
NW005117,2026-06-01 06:37:20,STF1135,staff-ops,staff-ops,10.20.165.185,10.20.171.220,5432,UDP,388634,DEV0069,0,6,0,0,12.870395878776542,0.5896289895187192,0
NW001433,2026-06-01 06:37:39,STF1157,staff-ops,staff-ops,10.20.125.148,10.20.95.100,22,TCP,351113,DEV0297,0,6,0,0,12.768866236041129,0.42636118889913754,0
NW004428,2026-06-01 06:50:27,STF1050,staff-ops,internet,10.20.7.86,198.51.66.15,443,TCP,253906,DEV0278,0,6,0,1,12.44472333722214,0.4659363536508918,0
NW000560,2026-06-01 06:58:29,STF1165,staff-ops,staff-ops,10.20.133.77,10.20.177.18,8080,UDP,99319,DEV0248,0,6,0,0,11.506102239622104,0.60235697283622,0
NW002183,2026-06-01 07:03:44,VND2019,vendor-vpn,internet,10.60.240.11,198.51.89.18,3389,TCP,253341,DEV0132,0,7,0,1,12.442495633535554,0.5769688940970547,0
NW000046,2026-06-01 07:17:18,STF1086,staff-ops,staff-ops,10.20.98.98,10.20.30.15,443,TCP,80056,DEV0030,0,7,0,0,11.290494159948398,0.3996163146859929,0
NW006165,2026-06-01 07:18:45,VND2002,vendor-vpn,vendor-vpn,10.60.145.232,10.20.210.162,22,TCP,380695,DEV0175,0,7,0,0,12.849756435354529,0.5118413237254513,0
NW005700,2026-06-01 07:37:25,STF1099,staff-ops,internet,10.20.99.93,198.51.31.188,443,UDP,221587,DEV0164,0,7,0,1,12.308575080764465,0.5746972842390835,0
